"lat";"lon";"weight"
48.658;-125.9186;0
58.0623;-136.6846;0
50.6144;-124.2976;0
47.4459;-70.2334;0
46.8336;-78.9053;0
59.2311;-136.4824;0
47.5776;-69.9493;0
47.4858;-70.4106;0
48.6552;-122.3054;0
49.5221;-66.7999;0
48.3995;-123.519;0
47.7766;-122.8021;0
46.8402;-78.9263;0
47.7716;-122.8247;0
50.4428;-130.1367;0
48.4894;-123.2359;0
71.9013;-75.5651;0
50.5289;-130.1902;0
44.6015;-70.4737;0
47.3873;-70.4873;0
49.4028;-127.8858;0
44.7659;-73.6932;0
52.5854;-132.0574;0
53.5049;-133.1931;0
48.1709;-122.4282;0
60.0123;-137.0349;0
50.5326;-130.3623;0
57.4726;-132.299;0
54.2339;-119.0639;0
65.4091;-85.3922;0
54.3062;-119.0074;0
49.8813;-123.8707;0
59.1876;-136.4663;0
47.5938;-70.0607;0
50.1889;-127.7512;0
46.6806;-75.0068;0
60.687;-57.3923;0
47.846;-116.5526;0
48.8296;-121.8153;0
48.6168;-122.6312;0
48.5711;-122.646;0
48.5701;-122.64;0
48.6163;-122.6331;0
47.9921;-129.0434;0
47.961;-129.0984;0
48.727;-125.8731;0
52.559;-132.2138;0
47.5385;-70.3979;0
49.6501;-127.2858;0
42.9908;-71.1773;0
52.7527;-132.2702;0
52.8445;-132.4786;0
50.079;-65.3619;0
53.6221;-133.176;0
50.0632;-129.8719;0
50.0386;-130.0606;0
52.5309;-132.2087;0
50.2384;-92.0904;0
61.9785;-140.8358;0
46.8041;-78.868;0
48.6827;-125.8983;0
47.748;-69.8967;0
52.246;-131.8393;0
46.8083;-76.4064;0
57.7873;-143.7449;0
52.3836;-131.983;0
52.7592;-119.2346;0
47.4351;-70.5411;0
47.5153;-70.2214;0
50.5934;-130.3765;0
49.6977;-68.352;0
43.2052;-78.87;0
50.5842;-130.3397;0
50.5874;-130.353;0
50.5863;-130.3698;0
50.6027;-130.3356;0
47.0001;-76.6879;0
70.7953;-80.5737;0
50.6046;-130.3236;0
47.7096;-69.8606;0
52.0374;-115.5368;0
48.7022;-128.5657;0
49.6369;-127.0898;0
58.17;-136.7421;0
53.8618;-132.2662;0
60.3308;-140.1375;0
49.1621;-129.0306;0
50.0197;-127.9295;0
52.7861;-132.4105;0
48.6656;-122.5314;0
50.4503;-130.1058;0
50.4427;-130.2021;0
50.4862;-130.1207;0
47.4945;-70.377;0
49.5892;-126.9327;0
60.334;-142.8967;0
50.7127;-91.9985;0
47.4026;-70.2874;0
51.1943;-124.4263;0
49.0417;-129.9826;0
60.8916;-59.156;0
48.3243;-69.2523;0
42.9993;-71.182;0
48.7252;-125.2595;0
60.7286;-138.802;0
60.4329;-139.2491;0
50.192;-127.7895;0
47.5909;-70.3781;0
47.3995;-70.4985;0
48.2119;-121.7473;0
49.6022;-67.23;0
46.8617;-77.3404;0
46.7096;-65.7169;0
48.4899;-123.4597;0
47.4164;-70.4407;0
47.7166;-70.0339;0
48.3085;-121.6421;0
46.0211;-75.4224;0
64.8847;-133.5123;0
64.864;-88.0025;0
53.8854;-132.2353;0
48.9498;-128.9578;0
52.8862;-132.5394;0
53.8727;-132.2819;0
47.5326;-70.0463;0
59.659;-55.1644;0
48.7447;-122.5354;0
50.0133;-127.8585;0
50.1532;-66.1025;0
49.5916;-66.8995;0
49.2476;-123.6165;0
47.4175;-70.4496;0
48.8905;-128.5787;0
52.5843;-132.0284;0
49.0144;-68.3404;0
46.1496;-73.9538;0
48.8895;-128.6405;0
48.1938;-69.9731;0
50.0948;-129.6032;0
49.048;-66.3626;0
53.8486;-133.368;0
47.7192;-122.4316;0
63.3835;-65.8391;0
46.8373;-78.8935;0
49.5641;-66.8757;0
46.0788;-74.7969;0
61.9947;-124.2102;0
47.0798;-69.9158;0
53.9209;-132.3869;0
50.3833;-120.6287;0
47.3832;-70.2622;0
52.3214;-132.0536;0
61.5038;-141.4298;0
46.9247;-70.9065;0
48.7407;-129.1916;0
46.8404;-78.918;0
49.0371;-125.4724;0
